FECHA ;LUGAR DE LA ORIENTACION ;TIPO DE DOCUMENTO;LOCALIDAD ;BARRIO ;RANGO DE EDAD;"CONDICION DE
DISCAPACION     ";"TIPO DE 
VIVIENDA ";"COBERTURA
EN SALUD";"ESTADO 
CIVIL";SEXO;GENERO;"ORIENTACION
SEXUAL";ETNIA;"NIVEL 
EDUCATIVO";VICTIMA ;RUV;OCUPACION;"ESTUDIOS
SOCIOECONIMICO ";TIPO DE SERVICIO ;TIPO DE REMISION ;"TIPOLOGIA
DE CASO-CASUSTICA ";EQUPO QUE ATENDIO 
4/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;CIUDAD BOLIVAR;LEON XIII;31-45 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;AFRO;SECUNDARIA;NO;NO;TRABAJO FORMAL;1-2 SMMLV;O.I.;N/A;AUTORECONOCIMIENTO;CONFIA SAN CRISTOBAL 
4/02/2022;CONFIA  SAN CRISTOBAL;R.C.;CIUDAD BOLIVAR;LEON XIII;18-30 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;AFRO;NINGUNA;NO;NO;NINGUNA;MENOS 1SMMLV;O.I.;N/A;AUTORECONOCIMIENTO;CONFIA SAN CRISTOBAL 
4/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;CIUDAD BOLIVAR;LEON XIII;18-30 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERA;HOMBRE;MASCULINO;HETEROSEXUAL;AFRO;SECUNDARIA;NO;NO;ESTUDIANTE;MENOS 1SMMLV;O.I.;N/A;AUTORECONOCIMIENTO;CONFIA SAN CRISTOBAL 
4/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;ANDALUCIA II SECTOR;60 o mas;NO;CASA;SUBSIDIADO;SEPARADA;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;SECUNDARIA;NO;NO;HOGAR;MENOS DE 1SMMLV;O.I.;SDIS;FAMILIA;EMANCIPATION RAIZAL PLISE
4/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;BOSA PIAMONTE;31-45;NO;VIVIENDA FAMILIAR;SUBSIDIADO;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;SUPERIOR;NO;NO;HOGAR;MENOS DE 1SMMLV;O.I.;SECRETARIA DE GOBIERNO;LABORALES;EMANCIPATION RAIZAL PLISE
4/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;BOSA JARDIN- LA AMISTAD;18-30;NO;ARRIENDO;SUBSIDIADO;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;SECUNDARIA;NO;NO;DESEMPLEADO;1-2 SMMLV;O.I.;SECRETARIA DE EDUCACION;EDUCACION;EMANCIPATION RAIZAL PLISE
7/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;SAN CRISTOBAL;VILLA DE LOS ALPES;18-30 AÑOS;NO;VIVIENDA FAMILIAR;SUBSIDIADA;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;AFRO;SECUNDARIA;NO;NO;ESTUDIANTE;MENOS 1SMMLV;O.I;N/A;AUTORECONOCIMIENTO;CONFIA SAN CRISTOBAL 
7/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;SAN CRISTOBAL;VILLA DE LOS ALPES;18-30 AÑOS;NO;VIVIENDA FAMILIAR;SUBSIDIADA;SOLTERA;HOMBRE;MASCULINO;HETEROSEXUAL;AFRO;SECUNDARIA;NO;NO;DESEMPLEADO;MENOS 1SMMLV;O.I;N/A;AUTORECONOCIMIENTO;CONFIA SAN CRISTOBAL 
7/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;SAN CRISTOBAL;VILLA DE LOS ALPES;46-60 AÑOS;NO;VIVIENDA FAMILIAR;SUBSIDIADA;UNION LIBRE;HOMBRE;MASCULINO;HETEROSEXUAL;AFRO;SECUNDARIA;NO;NO;DESEMPLEADO;MENOS 1SMMLV;O.I;N/A;AUTORECONOCIMIENTO;CONFIA SAN CRISTOBAL 
7/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;BOSA JARDIN;31-45;NO;ARRIENDO;SUBSIDIADO;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;TECNICA;NO;NO;HOGAR;MENOS DE 1SMMLV;O.I.;SDIS;FAMILIA;EMANCIPATION RAIZAL PLISE
8/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;SANTA FE;LAS CRUCES;46-60 AÑOS;NO;ARRIENDO;NO ASEGURADA;UNION LIBRE;HOMBRE;MASCULINO;HETEROSEXUAL;AFRO;PRIMARIA;NO;NO;OFICIO;MENOS 1SMMLV;O.I;N/A;AUTORECONOCIMIENTO;CONFIA SAN CRISTOBAL 
8/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;SANTA FE;LAS CRUCES;46-60 AÑOS;NO;ARRIENDO;NO ASEGURADA;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;AFRO;PRIMARIA;NO;NO;OFICIO;MENOS 1SMMLV;O.I;N/A;AUTORECONOCIMIENTO;CONFIA SAN CRISTOBAL 
8/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;BOSA ASOVIVIR;46-60;NO;CASA;SUBSIDIADO;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;TECNICA;NO;NO;HOGAR;MENOS DE 1SMMLV;O.I.;SECRETARIA DE GOBIERNO;LABORALES;EMANCIPATION RAIZAL PLISE
9/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;USME;YOMASA;46-60 AÑOS;NO;ARRIENDO;SUBSIDIADO;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;AFRO;SECUNDARIA;SI;SI;TRABAJO FORMAL;MENOS 1SMMLV;O.I.;N/A;FAMILIA;CONFIA
9/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;CIUDAD BOLIVAR ;MANUELAA BELTRAN ;31-45 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;UNION LIBRE ;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;TRABAJO FORMAL;MENOS 1SMMLV;O.I.;N/A;VICTIMAS;CONFIA
9/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;CIUDAD BOLIVAR ;MANUELAA BELTRAN ;46-60AÑOS;NO;ARRIENDO;CONTRIBUTIVO;UNION LIBRE ;MUJER;FEMENINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;DESEMPLEADA;MENOS 1SMMLV;O.I.;N/A;LABORAL;CONFIA
9/02/2022;CONFIA SAN CRISTOBAL ;CEDULA;CIUDAD BOLIVAR ;MANUELAA BELTRAN ;31-45 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;UNION LIBRE ;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;TRABAJO FORMAL;MENOS 1SMMLV;O.P.;N/A;VICTIMAS;CONFIA
9/02/2022;CONFIA SAN CRISTOBAL ;CEDULA;CIUDAD BOLIVAR ;MANUELAA BELTRAN ;46-60AÑOS;NO;ARRIENDO;CONTRIBUTIVO;UNION LIBRE ;MUJER;FEMENINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;DESEMPLEADA;MENOS 1SMMLV;O.P.;N/A;LABORAL;CONFIA
9/02/2022;CONFIA SAN CRISTOBAL ;CEDULA;CIUDAD BOLIVAR ;MANUELAA BELTRAN ;31-45 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;UNION LIBRE ;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;TRBAJOINFORMAL;MENOS 1SMMLV;O.P.;N/A;VICTIMAS;CONFIA
10/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;USME;ALFONZO LOPEZ;NO RESPONDE;NO;ARRIENDO;SUBSIDIADO;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;AFRO;NO RESPONDE;SI;SI;TRABAJO FORMAL;MENOS 1SMMLV;O.I.;N/A;FAMILIA;CONFIA
14/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;CIUDAD BOLIVAR ;MANUELAA BELTRAN ;31-45 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERO;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;TRBAJOINFORMAL;MENOS 1SMMLV;O.I.;N/A;VICTIMAS;CONFIA
14/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;CIUDAD BOLIVAR ;PARAISO;31-45 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERO;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;TRBAJOINFORMAL;MENOS 1SMMLV;O.I.;N/A;EDUCACION;CONFIA
14/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;CIUDAD BOLIVAR ;PARAISO;46-60AÑOS;NO;ARRIENDO;CONTRIBUTIVO;UNION LIBRE ;MUJER;FEMENINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;DESEMPLEADA;MENOS 1SMMLV;O.I.;N/A;LABORAL;CONFIA
14/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;CIUDAD BOLIVAR ;PARAISO;18-30 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;TRBAJOI NFORMAL;MENOS 1SMMLV;O.I.;N/A;EDUCACION;CONFIA
14/02/2022;CONFIA SAN CRISTOBAL ;CEDULA;CIUDAD BOLIVAR ;MANUELAA BELTRAN ;31-45 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERO;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;TRBAJOINFORMAL;MENOS 1SMMLV;O.P.;N/A;VICTIMAS;CONFIA
14/02/2022;CONFIA SAN CRISTOBAL ;CEDULA;CIUDAD BOLIVAR ;PARAISO;31-45 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERO;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;TRBAJOINFORMAL;MENOS 1SMMLV;O.P.;N/A;EDUCACION;CONFIA
14/02/2022;CONFIA SAN CRISTOBAL ;CEDULA;CIUDAD BOLIVAR ;PARAISO;46-60AÑOS;NO;ARRIENDO;CONTRIBUTIVO;UNION LIBRE ;MUJER;FEMENINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;DESEMPLEADA;MENOS 1SMMLV;O.P.;N/A;LABORAL;CONFIA
14/02/2022;CONFIA SAN CRISTOBAL ;CEDULA;CIUDAD BOLIVAR ;PARAISO;18-30 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;TRBAJOI NFORMAL;MENOS 1SMMLV;O.P.;N/A;EDUCACION;CONFIA
16/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;USME;BUENOS AIRES;NO RESPONDE;NO;ARRIENDO;SUBSIDIADO;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;AFRO;NO RESPONDE;SI;SI;TRABAJO FORMAL;MENOS 1SMMLV;O.I.;N/A;FAMILIA;CONFIA
17/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;RAFAEL URIBE;SAN JORGE;18-30 AÑOS;NO;ARRIENDO;SUBSIDIADA;SEPARADA;MUJER;FEMENINO;HETEROSEXUAL;AFRO;SECUNDARIA;NO;NO;TRABAJO FORMAL;MENOS 1SMMLV;O.I;N/A;EDUCACION ;CONFIA SAN CRISTOBAL 
17/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;RAFAEL URIBE;SAN JORGE;18-30 AÑOS;NO;ARRIENDO;SUBSIDIADA;SOLTERA;HOMBRE;MASCULINO;HETEROSEXUAL;AFRO;SECUNDARIA;SI;SI;HOGAR;MENOS 1SMMLV;O.I;N/A;EDUCACION ;CONFIA SAN CRISTOBAL 
17/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;RAFAEL URIBE;SAN JORGE;18-30 AÑOS;NO;ARRIENDO;NO ASEGURADA;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;AFRO;SECUNDARIA;NO;NO;NINGUNA;MENOS 1SMMLV;O.I;N/A;EDUCACION ;CONFIA SAN CRISTOBAL 
18/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;SAN CRISTOBAL;AMAPOLAS;18-30 AÑOS;NO;ARRIENDO;SUBSIDIADA;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;AFRO;PRIMARIA;SI;SI;DESEMPLEADA;MENOS 1SMMLV;O.I;N/A;EDUCACION ;CONFIA SAN CRISTOBAL 
18/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;SAN CRISTOBAL;JUAN REY;18-30 AÑOS;NO;APARTAMENTO;CONTRIBUTIVO;SOLTERA;HOMBRE;MASCULINO;HETEROSEXUAL;AFRO;SECUNDARIA;NO;NO;ESTUDIANTE;MENOS 1SMMLV;O.I;N/A;EDUCACION ;CONFIA SAN CRISTOBAL 
18/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;USME;USME PUEBLO;NO RESPONDE;NO;ARRIENDO;SUBSIDIADO;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;AFRO;SECUNDARIA;SI;SI;TRABAJO FORMAL;MENOS 1SMMLV;O.I.;N/A;FAMILIA;CONFIA
18/02/2022;EMANCIPATION RAIZAL PLIES;CÉDULA;SUBA;RINCÓN;18-30 AÑOS;NO;ARRIENDO PIEZA;SUBSIDIADO;UNIÓN LIBRE;MUJER;FEMENINO;HETERO SEXUAL;AFRO;SECUNDARIA;SI;NO;DESEMPLEADA;MENOS 1SMMLV;O.I.;A/P. EMPLEO;LABORAL; EMANCIPATION  RAIZAL PLIES
18/02/2022;EMANCIPATION RAIZAL PLIES;CÉDULA;SUBA;SAN PEDRO;46-60 AÑOS;NO;ARRIENDO APARTAMENTO;CONTRIBUTIVO;SOLTERA;MUJER;FEMENINO;HETERO SEXUAL;AFRO;SECUNDARIA;NO;NO;EMPLEADA;1 SMMV;O.I.;DILE;EDUCACIÓN; EMANCIPATION  RAIZAL PLIES
19/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;BOSA ;ATALAYAS;18-30 AÑOS;NO;PROPIA;CONTRIBUTIVO;SOLTERO;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;TECNICO;NO;NO;DESEMPLEADO;MENOS 1SMMLV;O.I.;N/A;LABORAL;CONFIA
19/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;BOSA ;ATALAYAS;18-30 AÑOS;NO;APARTAMENTO;CONTRIBUTIVO;SOLTERO;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;BACHILERATO;NO;NO;TRABAJO FORMAL ;MENOS 1SMMLV;O.I.;N/A;EDUCACION;CONFIA
19/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;BOSA ;ATALAYAS;31-45 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;UNIN LIBRFE;MUJER;FEMENINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;DESEMPLEADA;MENOS 1SMMLV;OI;N/A;LABORAL;CONFIA
19/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;BOSA ;ATALAYAS;46-60AÑOS;NO;ARRIENDO;CONTRIBUTIVO;UNIN LIBRFE;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;TRABJADOR INFORMAL;MENOS 1SMMLV;OI;N/A;VICTIMAS;CONFIA
19/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;BOSA ;ATALAYAS;46-60AÑOS;NO;PROPIA;CONTRIBUTIVO;UNIN LIBRFE;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;TECNICO;NO;NO;TRABJADOR  FORMAL;MENOS 1SMMLV;OI;N/A;EDUCACION;CONFIA
